YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
2019,Currane,DAIRY,C,0,0,0,0,0,0,3,35
2019,Inny,DAIRY,F,232,492,5232,797,5251,539,1029,288
2019,Erriff,BEEF,F,11,68,248,60,119,16,59,10
2016,Ilen,DAIRY,F,105,338,4972,411,4625,339,783,226
2020,Moy,DAIRY,F,165,350,2391,538,2034,376,603,287
2017,Moy,DAIRY,F,166,350,2422,539,2068,382,616,286
2019,Gweebarra,DAIRY,C,0,0,0,0,0,0,14,70
2015,Gweebarra,DAIRY,C,0,0,0,0,0,0,13,70
2016,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
2017,Dodder,DAIRY,F,0,21,193,13,99,3,11,9
2020,Currane,DAIRY,F,0,0,2,0,3,0,0,1
2016,Erriff,DAIRY,F,0,0,0,2,0,0,0,0
2016,Moy,BEEF,M,974,4140,17492,3282,10169,865,1172,1329
2019,Boyne,BEEF,M,1703,8326,35066,10576,30719,4152,6446,3116
2019,Dodder,BEEF,M,15,64,244,100,157,17,11,24
2020,Currane,BEEF,M,30,238,168,26,59,10,7,55
2017,Gweebarra,BEEF,M,10,85,199,31,61,4,2,16
2016,Nore,DAIRY,M,494,2275,28828,3238,23030,1482,2201,329
2016,Doonbeg,BEEF,M,161,538,2622,285,1241,96,237,287
2017,Vartry,BEEF,M,51,291,936,220,894,92,143,82
2016,Vartry,BEEF,M,51,294,945,226,896,92,144,83
2015,Moy,DAIRY,M,156,264,1281,489,867,112,127,43
2020,Ilen,DAIRY,M,105,229,2041,292,1179,103,141,64
2014,Erriff,BEEF,M,16,81,282,26,156,10,13,26
2016,Doonbeg,DAIRY,M,6,53,1148,65,541,14,110,32
2014,Gweebarra,DAIRY,M,0,22,300,36,146,2,0,0
2015,Erriff,DAIRY,M,0,0,2,5,7,0,7,2
2020,Dodder,DAIRY,M,3,13,92,35,48,5,4,2
2019,Vartry,DAIRY,M,20,66,151,150,74,31,30,11
2020,Dargle,DAIRY,M,0,16,127,9,45,5,5,2
2014,Dargle,DAIRY,M,0,8,80,8,36,5,5,2
2019,Currane,DAIRY,M,3,0,10,0,1,0,0,0
2017,Gweebarra,DAIRY,M,0,0,18,0,0,0,0,0
2017,Nore,BEEF,C,0,0,0,3,266,722,4651,56210
2018,Nore,BEEF,C,0,0,0,3,265,718,4650,56196
2017,Nore,DAIRY,C,0,0,0,1,148,430,19865,78723
2020,Boyne,BEEF,C,0,0,0,2,186,558,4690,55378
2020,Dodder,DAIRY,C,0,0,0,0,2,9,44,267
2019,Dodder,DAIRY,C,0,0,0,0,3,8,36,240
2016,Dargle,DAIRY,C,0,0,0,0,3,8,53,305
2014,Dargle,DAIRY,C,0,0,0,0,3,8,53,304
2017,Inny,BEEF,C,0,0,0,0,118,284,2406,30796
2019,Doonbeg,BEEF,C,0,0,0,0,31,39,368,5751
2016,Doonbeg,BEEF,C,0,0,0,0,31,36,358,5714
2018,Boyne,BEEF,F,1720,7897,35413,11600,37055,4719,6332,1669
2018,Dodder,BEEF,C,0,0,0,0,1,6,42,599
2016,Ilen,BEEF,C,0,0,0,0,15,104,519,6843
2015,Ilen,BEEF,C,0,0,0,0,15,104,525,6888
2014,Ilen,BEEF,F,260,929,4078,785,2434,319,412,164
2015,Ilen,DAIRY,C,0,0,0,0,25,76,3640,18217
2020,Inny,DAIRY,C,0,0,0,0,60,186,3546,16701
2020,Dodder,BEEF,F,11,88,251,110,296,67,65,9
2016,Doonbeg,DAIRY,C,0,0,0,0,6,3,1075,5413
2017,Currane,BEEF,C,0,0,0,0,1,4,79,1273
2014,Currane,BEEF,C,0,0,0,0,0,4,79,1241
2018,Vartry,DAIRY,C,0,0,0,1,4,68,192,1257
2017,Doonbeg,BEEF,F,158,554,2570,311,1430,163,418,152
2015,Doonbeg,BEEF,F,161,544,2557,318,1451,168,413,151
2017,Currane,DAIRY,C,0,0,0,0,0,0,3,35
2016,Currane,DAIRY,C,0,0,0,0,0,0,3,35
2019,Doonbeg,DAIRY,F,8,34,1838,61,1651,58,368,89
2016,Doonbeg,DAIRY,F,7,26,1764,43,1632,41,355,75
2016,Inny,DAIRY,F,242,551,5521,892,5382,606,1055,313
2020,Nore,DAIRY,F,445,1649,29288,2023,26457,1499,4175,729
2018,Moy,DAIRY,F,160,343,2386,532,2048,372,602,282
2018,Gweebarra,DAIRY,C,0,0,0,0,0,0,14,70
2018,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
2020,Vartry,DAIRY,F,22,126,279,156,227,110,24,37
2017,Vartry,DAIRY,F,22,101,173,131,172,103,24,37
2016,Dargle,DAIRY,F,0,18,217,13,116,4,17,8
2014,Dargle,DAIRY,F,0,18,217,13,116,4,17,8
2019,Currane,DAIRY,F,0,0,2,0,3,0,0,1
2016,Erriff,DAIRY,C,0,0,0,0,0,0,0,5
2020,Erriff,DAIRY,C,0,0,0,0,0,0,1,3
2014,Currane,DAIRY,F,0,0,2,0,3,0,0,0
2014,Moy,BEEF,M,966,4158,17259,3220,10069,842,1181,1317
2019,Nore,BEEF,M,1874,8678,43173,10959,40608,3592,4475,2694
2015,Nore,BEEF,M,1836,8592,43406,11095,41459,3639,4596,2721
2016,Boyne,BEEF,M,1712,8394,35189,10192,30195,4051,6515,3183
2015,Dodder,BEEF,M,9,61,142,52,68,11,12,21
2015,Currane,BEEF,M,29,234,168,26,53,10,7,53
2017,Inny,BEEF,M,765,4008,16180,4780,14764,1516,2897,1672
2015,Gweebarra,BEEF,M,10,85,192,31,62,4,2,17
2020,Doonbeg,BEEF,M,168,583,2660,304,1238,102,241,298
2018,Doonbeg,BEEF,M,164,548,2643,284,1229,97,242,289
2020,Erriff,BEEF,M,18,68,237,26,109,8,8,24
2020,Boyne,DAIRY,M,860,3035,10526,3851,7695,1697,1321,453
2019,Inny,DAIRY,M,197,428,2670,628,1724,247,316,71
2017,Boyne,DAIRY,M,864,2975,10646,3734,7444,1705,1334,463
2017,Inny,DAIRY,M,187,459,2832,667,1798,251,323,84
2014,Dodder,DAIRY,M,0,7,14,4,19,0,3,2
2018,Gweebarra,DAIRY,M,0,0,18,0,0,0,0,0
2019,Moy,DAIRY,C,0,0,0,0,12,66,1458,9691
2016,Dargle,BEEF,C,0,0,0,0,3,22,80,1216
2015,Dargle,BEEF,C,0,0,0,0,3,22,80,1217
2014,Vartry,DAIRY,C,0,0,0,1,4,49,169,1319
2015,Boyne,DAIRY,C,0,0,0,0,112,1362,9559,56831
2018,Doonbeg,BEEF,C,0,0,0,0,31,41,367,5788
2015,Inny,BEEF,F,744,3992,16564,4390,13812,1888,2877,789
2014,Inny,BEEF,F,762,3953,16634,4391,13778,1876,2837,797
2018,Nore,BEEF,F,1803,8231,37010,9302,29975,3270,3541,1197
2016,Nore,BEEF,F,1793,8267,37209,9344,30184,3295,3596,1225
2017,Ilen,DAIRY,C,0,0,0,0,25,74,3635,18156
2018,Ilen,DAIRY,C,0,0,0,0,25,73,3619,18057
2014,Ilen,DAIRY,C,0,0,0,0,25,75,3787,18716
2017,Inny,DAIRY,C,0,0,0,0,59,199,3683,17041
2018,Inny,DAIRY,C,0,0,0,0,59,195,3736,17194
2014,Inny,DAIRY,C,0,0,0,0,58,184,3794,17091
2020,Boyne,DAIRY,F,1083,3964,15214,5243,13992,3320,3078,1338
2019,Boyne,DAIRY,F,1079,3914,15121,5202,13882,3308,3096,1335
2015,Boyne,DAIRY,F,1086,4108,15138,5415,13967,3392,3040,1359
2014,Boyne,DAIRY,F,1093,4086,15381,5386,14140,3347,3082,1371
2017,Vartry,BEEF,F,42,318,957,371,1078,207,259,44
2017,Dargle,BEEF,F,11,151,518,158,520,71,129,41
2015,Vartry,BEEF,F,42,319,964,362,1042,196,252,44
2014,Doonbeg,DAIRY,C,0,0,0,0,6,3,1059,5507
2017,Gweebarra,BEEF,C,0,0,0,0,1,1,47,754
2016,Gweebarra,BEEF,C,0,0,0,0,1,1,47,754
2018,Moy,BEEF,F,939,4020,19443,3931,13541,1809,4000,1018
2017,Moy,BEEF,F,942,4013,19507,3954,13581,1822,4021,1014
2015,Inny,DAIRY,F,229,522,5402,855,5275,596,1032,294
2019,Vartry,DAIRY,C,0,0,0,1,3,63,182,1057
2016,Vartry,DAIRY,C,0,0,0,1,4,48,153,1124
2019,Doonbeg,BEEF,F,158,555,2548,312,1429,165,418,151
2014,Doonbeg,BEEF,F,156,564,2546,341,1423,171,424,188
2018,Currane,DAIRY,C,0,0,0,0,0,0,3,35
2014,Doonbeg,DAIRY,F,8,26,1756,43,1619,45,361,88
2017,Inny,DAIRY,F,238,534,5340,896,5362,614,1045,315
2014,Nore,DAIRY,F,414,1654,29152,1991,26242,1417,4191,729
2018,Erriff,BEEF,F,11,82,273,61,129,16,63,11
2017,Ilen,DAIRY,F,105,333,4964,411,4663,340,783,224
2019,Currane,BEEF,F,24,212,268,125,154,66,44,18
2020,Gweebarra,BEEF,F,14,74,207,50,106,19,64,11
2017,Gweebarra,DAIRY,F,0,0,23,0,11,0,4,0
2015,Erriff,BEEF,F,14,74,260,57,149,28,64,10
2014,Erriff,BEEF,F,7,76,247,48,93,10,59,7
2015,Dodder,DAIRY,F,0,21,193,13,99,3,11,9
2020,Erriff,DAIRY,F,0,1,119,2,3,0,1,0
2019,Erriff,DAIRY,F,0,1,119,2,2,0,1,0
2014,Nore,BEEF,M,1838,8603,43883,11111,41762,3696,4635,2718
2014,Ilen,BEEF,M,269,985,4420,734,2596,241,345,418
2019,Dargle,BEEF,M,9,161,481,113,253,21,23,50
2017,Dodder,BEEF,M,9,61,142,58,72,11,12,21
2016,Dodder,BEEF,M,9,61,142,58,72,11,12,21
2018,Currane,BEEF,M,30,238,170,26,58,10,7,55
2016,Inny,BEEF,M,770,4056,16146,4779,14781,1505,2911,1676
2018,Gweebarra,BEEF,M,12,95,205,42,62,4,2,17
2020,Nore,DAIRY,M,470,2223,28542,3187,22987,1355,2018,314
2015,Nore,DAIRY,M,488,2232,28454,3195,22707,1387,2192,330
2016,Moy,DAIRY,M,155,325,1280,484,909,116,135,43
2019,Ilen,DAIRY,M,105,229,2070,292,1188,103,145,64
2017,Ilen,DAIRY,M,105,226,2017,315,1166,104,146,64
2016,Ilen,DAIRY,M,105,228,2040,315,1166,103,150,64
2015,Ilen,DAIRY,M,105,228,2028,291,1177,104,150,64
2014,Currane,BEEF,M,29,223,157,27,53,10,7,52
2014,Inny,DAIRY,M,187,448,2927,839,1788,266,289,82
2017,Doonbeg,DAIRY,M,6,53,1151,66,543,14,110,32
2014,Erriff,DAIRY,M,0,0,48,5,67,0,7,2
2018,Erriff,DAIRY,M,0,1,49,5,100,3,8,2
2016,Dargle,DAIRY,M,0,8,80,8,36,5,5,2
2015,Dodder,DAIRY,M,0,7,14,4,19,0,3,2
2017,Currane,DAIRY,M,0,0,10,0,1,0,0,0
2016,Currane,DAIRY,M,0,0,10,0,1,0,0,0
2015,Currane,DAIRY,M,0,0,10,0,1,0,0,0
2016,Nore,BEEF,C,0,0,0,3,264,718,4641,56468
2018,Vartry,BEEF,C,0,0,0,0,11,39,244,1931
2015,Vartry,BEEF,C,0,0,0,0,10,41,194,1962
2016,Vartry,BEEF,C,0,0,0,0,10,40,194,1923
